track_id,name,duration_ms,artist_id,artist_name,num_artists,album_id,album_name
4K72z15Bbt6153FyQYOpH0,Without You,299493,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,1maIgsJ7htTqCDrhe8aucE,Now Hear This
5QFoMfKZzE7ALV2IOugoCs,Ayoko Na,274826,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,1maIgsJ7htTqCDrhe8aucE,Now Hear This
4urR4TMtkPIY1qgbDs91EQ,Maghihintay,252813,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,1maIgsJ7htTqCDrhe8aucE,Now Hear This
64GmqrwsKvxBpUFTxgMIMl,Sobra Sobra,295360,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,1maIgsJ7htTqCDrhe8aucE,Now Hear This
3CkKSV0BzTV0fUkCIVaArq,Baby Stay,216013,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,1maIgsJ7htTqCDrhe8aucE,Now Hear This
3MYfcVRTLqo7t3ra4DqFRn,Ama Namin,113640,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,1maIgsJ7htTqCDrhe8aucE,Now Hear This
7qUHGajuvmhnCddQjuNK6N,Because,263653,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,2A48roBpFpFjatWtksmsQE,Heartstrings
7nsiWbURKfKq1IVtS3b2Yy,Ain't Nothin' Gonna Keep Me From You,288186,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,2A48roBpFpFjatWtksmsQE,Heartstrings
3fctzxwfAkILwVfyxAViAI,You're Not Mine,187293,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,2A48roBpFpFjatWtksmsQE,Heartstrings
3KbqbLxwSwFNV0ZTnzAeM9,(They Long To Be) Close To You,184200,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,2A48roBpFpFjatWtksmsQE,Heartstrings
