date,position,track_id,track_name,artist,streams
2020-09-01,192,4enEJGj42a9Nk9Gh7DNhWL,Let Me Be The One,Jimmy Bondoc,26782
2020-09-05,185,0ri0Han4IRJhzvERHOZTMr,At My Worst,Pink Sweat$,24926
2020-09-06,171,7aGyRfJWtLqgJaZoG9lJhE,Mad at Disney,salem ilese,24660
2020-09-08,116,4lsHZ92XCFOQfzJFBTluk8,You Got It,Vedo,34155
2020-09-10,144,3NFxEhW0A38HCoadVBhwew,Waterfalls,Julian Sean,31429
2020-09-12,178,4G7uzhxgKFBCJApBpuuBgU,Kabet,Gagong Rapper,26486
2020-09-16,196,32L3JmBCqHyvM16zyTcGVQ,Sulyap,Jom,26791
2020-09-21,150,5hvwx5i67IwnCkjl9VHkNv,Diamonds,Sam Smith,29947
2020-09-25,142,1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Pop Smoke,32128
2020-09-28,95,1OrPpim6Gl4rmRrHlyUjCn,Ulap,Rob Deniel,37975
2020-10-02,19,4TgxFMOn5yoESW6zCidCXL,Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685,137414
2020-10-09,163,0wUSZjJVblGKntOqBSWMdo,Bawat Daan,Ebe Dancel,31689
2020-10-28,98,28xX6K8LnkZve4RiuEB3iK,Sweet Melody,Little Mix,41896
2020-10-30,1,35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,301973
2020-11-21,160,3us3yACYidjyZwm9to0czY,Magandang Dilag,JM Bales,30312
2020-12-31,187,6Pgmqg15yVexuOgtzuxwoX,Dancing in My Room,347aidan,34455
2021-01-09,88,7lPN2DXiMsVn7XUKtOW1CS,drivers license,Olivia Rodrigo,43726
