date,position,track_id,track_name,artist,streams,Filipino
8/12/2017,127,3gyEt1vswIEbpQqBs18Lha,Harana,Parokya Ni Edgar,23733,filipino
10/10/2018,190,7tYjXd42SzEhrWEFQeZxNm,Simula Pa Nung Una,Patch Quiwa,22874,filipino
12/30/2018,175,2tzAN1L07SNwnOdgOEeuQr,Pauwi Nako,PDL,19520,filipino
1/1/2017,113,2qqte0XT0eFFVLuNP7Qena,Paano Ba Ang Magmahal,Piolo Pascual,16486,filipino
3/23/2019,198,31vGGETvC1zlvuhNumTYZB,Kontrabida,Pricetagg,22190,filipino
8/22/2017,176,2vVW17crZs4KInids0h9SE,241 (My Favorite Song),Rivermaya,21360,filipino
9/28/2020,95,1OrPpim6Gl4rmRrHlyUjCn,Ulap,Rob Deniel,37975,filipino
4/28/2017,85,2meEAmZCXr2dud0RRYyfZt,Kaibigan Mo,Sarah Geronimo,32217,filipino
7/31/2020,95,2WUhR1SraSy0SVIQKohJb6,Hanggang Sa Huli,SB19,36761,filipino
1/19/2018,181,6LJ1p1h5EcMK4VPeCLDSoF,Nadarang,Shanti Dope,21580,filipino
1/1/2017,40,0YyM8aEdbjGfLWPn6fdcn7,Pasensya Ka Na,Silent Sanctuary,52955,filipino
1/1/2017,147,0MqkYdGBzHx7lnaFvo7doR,Para Sa Akin,Sitti,13502,filipino
1/31/2017,146,5fJHoiDbRO8f7wkGL0kotY,"Pag-Ibig - From ""Dangwa""",Sponge Cola,19057,filipino
1/1/2017,25,2IMODbij0lZ5CuAjZi0IDE,Sila,SUD,70631,filipino
5/10/2020,195,37IyluB7MO8TMJGSf4h4dz,Alapaap / Overdrive,Tanya Manalang,19809,filipino
11/22/2019,164,7n7mTiptQT1iNa7rMhcZS8,"A Perfect Christmas - Recorded at OnQ Studios, Manila",Tatak Pinoy All-Stars,28398,filipino
1/7/2017,170,79yCQrawsilxU56g0UifKQ,Akin Ka Na Lang,The Company,15511,filipino
6/11/2018,80,0rkML0CSX3wteVwUh5cspv,'Di Na Muli,The Itchyworms,36306,filipino
6/29/2018,190,5wZvVKUYvXjvUarvPCyqhk,Lumalapit,The Juans,24037,filipino
9/30/2018,196,5V2AX2WTOHl2FKtftvisV6,Kahit Ayaw Mo Na,This Band,20232,filipino
6/3/2017,159,0AZjL7QqObm13VxPA078uz,"Tag-ulan (Original Soundtrack of ""Luck At First Sight"")",Thyro,20232,filipino
12/17/2018,194,267RumTt5KeLBGl2KWxBL0,Dating Tayo,TJ Monterde,19496,filipino
1/1/2017,186,7DpfL3u92JKKTys5w7jfY7,Starting over Again,Toni Gonzaga,11386,filipino
8/14/2018,119,637uCaC8im9B7Pe2O2Z53w,Sino,Unique Salonga,30817,filipino
1/1/2017,46,6NFKf8vBApSvtzkapYmnVR,Tadhana,Up Dharma Down,48330,filipino
7/7/2019,199,1TU0pwihuwk0RkgwHtuy71,Walwal,VVS Collective,21099,filipino
1/1/2017,63,2XYb0tB6gqXObZqNsAoMYk,Paasa - T.A.N.G.A.,Yeng Constantino,28239,filipino
12/24/2017,137,0gBc4Ksp2LSHbGTa1jBKTO,Angels We Have Heard on High,Acapellago,28796,filipino
12/24/2017,113,6z4xX7Yv04TvNYb73YyCUK,Little Drummer Boy,Alisah Bonaobra,34245,filipino
1/1/2017,177,0JzwzRDkwZr8s1WRfNgUqA,Till I Met You,Angeline Quinto,11649,filipino
1/11/2018,84,5hCJIUsAqjKFlvKrvCcUIb,Need You,Bosx1ne,39011,filipino
8/19/2017,189,2Vsetr5viGzrHDkC222PAT,I Need You More Today,Caleb Santos,18857,filipino
5/19/2017,190,6wp2nSBcuEdZYkEA1g4KHQ,Stay,Claudia,18624,filipino
5/2/2019,200,5T8bLnWG8sg9ER8RKNZbCB,Before I Let You Go,Freestyle,23462,filipino
2/3/2018,192,5RFHiLHCt7dDgKfCAdD5vj,Hey Barbara,IV Of Spades,20771,filipino
8/16/2020,164,5PjjypAmfFPp5Axknx5mJ9,Can't Get Out,Jem Macatuno,25234,filipino
9/1/2020,192,4enEJGj42a9Nk9Gh7DNhWL,Let Me Be The One,Jimmy Bondoc,26782,filipino
2/8/2019,115,0Fh6hgq979963fIxr2VBF2,"214 - From ""Alone/Together""",JM De Guzman,34506,filipino
2/10/2017,191,4OjORl39ULsmkJHOPbOOPJ,You,Jona,15360,filipino
1/6/2017,183,0ecAxY4uqROZWKSUaRVCK7,"Hey Crush - From ""Vince & Kath & James""",Joshua Garcia,15312,filipino
9/10/2020,144,3NFxEhW0A38HCoadVBhwew,Waterfalls,Julian Sean,31429,filipino
