playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
57iR4LZHFiFZWa32vdiCo1,Sad funeral songs,19,cjvnu0al345p8m6p79qqizn53,Trepid8,26
3pAO5iThgzT9Pmckbf0M5a,play this at my funeral,142,0spn0udqvrfyg9ky8dvvmljti,jaden 🌊,17
21meWgFMa0aU2MpPo2YrBM,✨FUNeral✨,283,carla.gerigk,carla.gerigk,17
2zCf3gg01XfnNss1f8wQbJ,SIGELPA - Música de funeral,14,85dx9ttt0dgijkh5fb93fnmne,FF,15
0K2khlHE6fKnySdkBSGJCR,African Funeral Song,2,8coh0au7gmnu6f8l4herw3t6b,Branson,13
1WpATuS4w6gEJ05pDdYtPk,Emma's Funeral RIP,227,emmaatkinson12345,emmaatkinson12345,12
2Vs3kMSZ6Bb1e6P5lieI1p,Play This At My Funeral,404,olliechatter,Rowen Egenlauf,8
7yYTaOId2vYARdauGh2PYP,FUNeral,242,11153761384,Dagmara Skoracka,8
3ocPxC3N3rSxY7kuUh0kAm,Funeral,79,y99e2q2ubebgtv1zgcf2r86oc,Accuz⛽,6
358qChpp9Albh4SpHGS6pU,Play this on my funeral,119,pc5b86rtwuc0giullrevhmlxu,Maja N,4
5PuPVg4TQFsEcQBV3Sz2N8,funeral realism,1911,fs77noso5jd6mvfh21ii3xrxg,Frenchman,1
