track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_classical_prob,predicted_country_prob,predicted_electronic_prob,predicted_jazz_prob,predicted_pop_prob,predicted_rap_prob,predicted_rnb_prob,predicted_rock_prob
4txc3txsIt81diMzGhrVPS,wish you were gay,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,0l89FgpjfprAbdXegY4Xn3,221543,2019-03-04,1,0.853,0.351,7,0.5753121801432957,1,0.241,0.39,9.38e-06,0.752,0.282,0.42255848783762845,3,jazz,0.375,0.0,0.041666666666666664,0.0,0.375,0.125,0.125,0.25,0.08333333333333333
1zSKtBze2IReYU44W0lDzd,Can You Feel the Love Tonight,6vWDO969PvNqNYHIOW5v0m,Beyoncé,7e8y48Z2fkJNGBOKSECCeS,182613,2019-07-11,67,0.337,0.331,5,0.5768679631525075,1,0.0385,0.657,0.0,0.085,0.35,0.3268540515415999,3,jazz,0.375,0.041666666666666664,0.0,0.0,0.375,0.16666666666666666,0.0,0.08333333333333333,0.3333333333333333
3jhligm7HycklC8M3CcXnM,Good Girls,49tQo2QULno7gxHutgccqF,LANY,2hVTFTbeg9QhXGZAY99oRa,249379,2017-06-30,0,0.706,0.676,1,0.7027226202661206,1,0.0377,0.00145,0.171,0.161,0.461,0.42234545266745854,2,electronic,0.375,0.0,0.25,0.375,0.0,0.125,0.0,0.125,0.125
50tyqR5Zz99YMSyQWpqLsR,Need You Right Now,2ZuweXv0TkfsidZOLZZoM2,HEDEGAARD,2SXgydCbqSATXV3FSn9jFG,205914,2018-04-20,38,0.754,0.724,4,0.8247697031729784,0,0.0272,0.1,0.0,0.063,0.677,0.3708361307648608,4,pop,0.375,0.0,0.125,0.041666666666666664,0.0,0.375,0.0,0.25,0.20833333333333334
6D9DwqiHiMKmy2V7HvN6zs,Paalam,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,64cjwPaR72rW2Wzm9uWE3c,291108,2020-03-27,54,0.292,0.308,4,0.6832343909928351,1,0.0305,0.671,2.22e-06,0.102,0.198,0.2964093890409543,3,jazz,0.375,0.0,0.0,0.0,0.375,0.3333333333333333,0.0,0.125,0.16666666666666666
26Fqtv4Aa7kyd1WWGHai6A,Privilege,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,3N88bRVAwQrtKqSV0UgU69,170573,2018-03-30,0,0.391,0.595,11,0.7023950870010234,0,0.0411,0.913,0.00557,0.145,0.379,0.2660228270412642,4,pop,0.375,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.375,0.0,0.2916666666666667,0.0
0O22hXRIdbyrnMQk7VldC9,Punch,7f4ignuCJhLXfZ9giKT7rH,NCT 127,64F7bFLt8ULAfBl2L4Pyv4,204000,2020-05-19,63,0.636,0.915,1,0.85064483111566,1,0.183,0.0353,0.0,0.0978,0.511,0.24772762485152083,4,pop,0.375,0.0,0.16666666666666666,0.08333333333333333,0.0,0.375,0.041666666666666664,0.125,0.20833333333333334
03o4HPzUwftpgAPNQSuaBS,This Love Isn't Crazy,6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,7oHKKCXCFIv3J1Yh5F08pu,233373,2020-05-21,62,0.632,0.728,6,0.7570522006141247,0,0.0604,0.00308,0.0,0.278,0.252,0.4222550741104167,2,electronic,0.375,0.0,0.125,0.375,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.0,0.125
3Fj47GNK2kUF0uaEDgXLaD,wish you were gay,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,0S0KGZnfBGSIssfF54WSJh,221543,2019-03-29,80,0.853,0.351,7,0.5753121801432957,1,0.241,0.39,9.38e-06,0.752,0.282,0.42255848783762845,3,jazz,0.375,0.0,0.041666666666666664,0.0,0.375,0.125,0.125,0.25,0.08333333333333333
6mAz8D1TmlTuef90dbNIiZ,Plug Walk,1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,5cyx5207ZDS7ZhmLFiBoUx,175229,2018-03-30,1,0.876,0.519,11,0.7254452405322415,1,0.143,0.202,0.0,0.108,0.158,0.2737760161132055,5,rap,0.375,0.0,0.0,0.16666666666666666,0.125,0.08333333333333333,0.375,0.25,0.0
3u9tIlAnygQGNJ5VuSvTfi,Bagay Tayo,0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,7EyFdHaGHh73lOZz1zuFTe,397033,2018-12-04,0,0.804,0.557,0,0.6383623336745137,1,0.163,0.322,0.0,0.106,0.645,0.30651887620719925,6,rnb,0.375,0.0,0.0,0.0,0.2916666666666667,0.041666666666666664,0.20833333333333334,0.375,0.08333333333333333
