track_id,track_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre_prob,predicted_genre,classification_probability,artist_id,artist_name
0V9rj37SqxF06EOV809odq,Di Ka Sayang,272Ej3MRWKl2sMQ284qyxr,254000,2020-11-06,72,0.544,0.781,8,-4.86,1,0.0352,0.00781,8.38e-05,0.132,0.422,124.869,5,0.9755292534828186,Rock,97.55292534828186%,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben
4hEcAsNF6RG9VCV7xElgCG,You Are My Sunshine,05rQadwAVYTpNNnBoeTuj0,164320,2018-02-19,62,0.492,0.235,2,-9.67,1,0.0315,0.921,3.69e-06,0.179,0.362,117.863,3,0.9753345847129822,Acoustic,97.53345847129822%,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre
25agDEpgr54nRvyQJHmNmR,Di Biro,2F6OKkFouf9ll5uYQ7myQB,166013,2020-05-22,43,0.595,0.19,4,-14.627,1,0.0384,0.908,0.00703,0.355,0.272,108.626,3,0.9753163456916808,Acoustic,97.53163456916809%,2M4mQMnLHQQXsFsRmTTqsR,Jana Garcia
2iOnWSWcChoGmUufbrQ00e,Tagu-Taguan,05rQadwAVYTpNNnBoeTuj0,249160,2018-02-19,59,0.633,0.28,2,-11.192,1,0.0389,0.831,8.83e-05,0.113,0.152,87.963,3,0.9749812483787536,Acoustic,97.49812483787537%,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre
1ycpU8beNm9bXKvy7s25Jl,Gitara,0SudJuJEQweUzqF3hzeRGx,242826,2005,62,0.768,0.312,7,-8.268,1,0.034,0.865,1.09e-05,0.0963,0.633,113.469,3,0.9721652865409852,Acoustic,97.21652865409851%,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar
1ycpU8beNm9bXKvy7s25Jl,Gitara,0SudJuJEQweUzqF3hzeRGx,242826,2005,62,0.768,0.312,7,-8.268,1,0.034,0.865,1.09e-05,0.0963,0.633,113.469,3,0.9721652865409852,Acoustic,97.21652865409851%,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar
1ycpU8beNm9bXKvy7s25Jl,Gitara,0SudJuJEQweUzqF3hzeRGx,242826,2005,62,0.768,0.312,7,-8.268,1,0.034,0.865,1.09e-05,0.0963,0.633,113.469,3,0.9721652865409852,Acoustic,97.21652865409851%,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar
06cUybZMETs4i3yQO1f7p3,Weak,5ZxNoCcUNppsFWVkMkEoed,211200,2018-08-28,67,0.71,0.373,5,-10.611,0,0.0618,0.179,0.0,0.156,0.141,127.064,4,0.971898078918457,R&B,97.1898078918457%,30DIeQNV9s1HEXyuCpGF4l,Khel Pangilinan
06cUybZMETs4i3yQO1f7p3,Weak,5ZxNoCcUNppsFWVkMkEoed,211200,2018-08-28,67,0.71,0.373,5,-10.611,0,0.0618,0.179,0.0,0.156,0.141,127.064,4,0.971898078918457,R&B,97.1898078918457%,30DIeQNV9s1HEXyuCpGF4l,Khel Pangilinan
6KfGuMyhHwuQtMSBvQ02pI,Paubaya,10rSYwOZH2D4t1J3iu70Jz,282490,2020-10-23,75,0.373,0.245,5,-12.45,1,0.0354,0.766,0.000365,0.0768,0.174,127.067,3,0.9709045886993408,Acoustic,97.09045886993408%,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre
6KfGuMyhHwuQtMSBvQ02pI,Paubaya,10rSYwOZH2D4t1J3iu70Jz,282490,2020-10-23,75,0.373,0.245,5,-12.45,1,0.0354,0.766,0.000365,0.0768,0.174,127.067,3,0.9709045886993408,Acoustic,97.09045886993408%,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre
6KfGuMyhHwuQtMSBvQ02pI,Paubaya,10rSYwOZH2D4t1J3iu70Jz,282490,2020-10-23,75,0.373,0.245,5,-12.45,1,0.0354,0.766,0.000365,0.0768,0.174,127.067,3,0.9709045886993408,Acoustic,97.09045886993408%,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre
6KfGuMyhHwuQtMSBvQ02pI,Paubaya,10rSYwOZH2D4t1J3iu70Jz,282490,2020-10-23,75,0.373,0.245,5,-12.45,1,0.0354,0.766,0.000365,0.0768,0.174,127.067,3,0.9709045886993408,Acoustic,97.09045886993408%,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre
4uyp73pmsVkogpZfKSLdyh,Tagpuan,0rOWcyhZyjvuJs5SParNfY,259317,2018-01-25,46,0.492,0.118,8,-8.821,1,0.0378,0.864,0.0,0.07,0.234,135.253,3,0.9680994749069214,Acoustic,96.80994749069214%,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre
0wUSZjJVblGKntOqBSWMdo,Bawat Daan,4acHD3ykZw3DYLcLW1Mqv3,300240,2015-01-01,63,0.229,0.697,6,-5.298,1,0.0304,0.0342,0.0,0.0749,0.292,152.236,5,0.9666765332221984,Rock,96.66765332221985%,543f0NvGig5Moo9XROTUur,Ebe Dancel
0wUSZjJVblGKntOqBSWMdo,Bawat Daan,4acHD3ykZw3DYLcLW1Mqv3,300240,2015-01-01,63,0.229,0.697,6,-5.298,1,0.0304,0.0342,0.0,0.0749,0.292,152.236,5,0.9666765332221984,Rock,96.66765332221985%,543f0NvGig5Moo9XROTUur,Ebe Dancel
4mf6HE25CkxeezcdWyfUGO,Can't Take My Eyes Off You,1TugUfcLQPcMeZWhRbjC5e,163559,2017-10-02,74,0.719,0.135,5,-12.074,0,0.0656,0.828,0.0,0.0935,0.594,88.251,3,0.9649887681007384,Acoustic,96.49887681007385%,40JlNF1w2OiSOyj1nC4y0I,Joseph Vincent
14BG5B1EJSCyNpZt096xXc,"Patawad, Paalam",4Lavp71TTVIdkw8yNY8LhA,323140,2019-06-14,58,0.472,0.288,2,-8.213,1,0.0318,0.865,1.01e-05,0.131,0.193,77.987,3,0.9634727239608764,Acoustic,96.34727239608765%,"['0rZRTXEmmPmx6gt92tBqIc', '7tKpXx21KVUOR6vvDs6xtg']","['Moira Dela Torre', 'I Belong to the Zoo']"
14BG5B1EJSCyNpZt096xXc,"Patawad, Paalam",4Lavp71TTVIdkw8yNY8LhA,323140,2019-06-14,58,0.472,0.288,2,-8.213,1,0.0318,0.865,1.01e-05,0.131,0.193,77.987,3,0.9634727239608764,Acoustic,96.34727239608765%,"['0rZRTXEmmPmx6gt92tBqIc', '7tKpXx21KVUOR6vvDs6xtg']","['Moira Dela Torre', 'I Belong to the Zoo']"
7tYjXd42SzEhrWEFQeZxNm,Simula Pa Nung Una,52qmX1Tbwfk9S0iyVd0JHC,255661,2018-04-22,59,0.571,0.143,11,-8.704,1,0.0381,0.885,0.0,0.119,0.487,107.516,3,0.9625943899154664,Acoustic,96.25943899154663%,3bsQY9pFWVzUMxlSgGQuBn,Patch Quiwa
7tYjXd42SzEhrWEFQeZxNm,Simula Pa Nung Una,52qmX1Tbwfk9S0iyVd0JHC,255661,2018-04-22,59,0.571,0.143,11,-8.704,1,0.0381,0.885,0.0,0.119,0.487,107.516,3,0.9625943899154664,Acoustic,96.25943899154663%,3bsQY9pFWVzUMxlSgGQuBn,Patch Quiwa
2Pelm9xgLSC78mRk0jbOKb,Sila - Acoustic,1HHK0oozKwo9piao0wO25d,319608,2016-03-18,51,0.751,0.281,9,-9.282,1,0.0429,0.743,0.0,0.26,0.386,124.89,3,0.9614923000335692,Acoustic,96.14923000335693%,0jKQrxK2zHqxyOAyIMrUQt,SUD
2Pelm9xgLSC78mRk0jbOKb,Sila - Acoustic,1HHK0oozKwo9piao0wO25d,319608,2016-03-18,51,0.751,0.281,9,-9.282,1,0.0429,0.743,0.0,0.26,0.386,124.89,3,0.9614923000335692,Acoustic,96.14923000335693%,0jKQrxK2zHqxyOAyIMrUQt,SUD
6wdCelHrPh7UfliNjwRTUv,Leaves,5Yl1Bi501CuE72jaVK4e3y,310708,2017-03-31,71,0.447,0.16,6,-10.896,1,0.0372,0.913,0.0,0.0891,0.205,118.313,3,0.961487889289856,Acoustic,96.1487889289856%,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben
6wdCelHrPh7UfliNjwRTUv,Leaves,5Yl1Bi501CuE72jaVK4e3y,310708,2017-03-31,71,0.447,0.16,6,-10.896,1,0.0372,0.913,0.0,0.0891,0.205,118.313,3,0.961487889289856,Acoustic,96.1487889289856%,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben
6wdCelHrPh7UfliNjwRTUv,Leaves,5Yl1Bi501CuE72jaVK4e3y,310708,2017-03-31,71,0.447,0.16,6,-10.896,1,0.0372,0.913,0.0,0.0891,0.205,118.313,3,0.961487889289856,Acoustic,96.1487889289856%,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben
6wdCelHrPh7UfliNjwRTUv,Leaves,5Yl1Bi501CuE72jaVK4e3y,310708,2017-03-31,71,0.447,0.16,6,-10.896,1,0.0372,0.913,0.0,0.0891,0.205,118.313,3,0.961487889289856,Acoustic,96.1487889289856%,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben
00bAw28lKcHj3B94a1wJle,Say You Won’t Let Go,1Kbd7hJJipnio37279Oclz,261985,2017-02-24,57,0.461,0.293,1,-9.0,1,0.0496,0.839,0.0,0.118,0.415,153.521,3,0.9552170038223268,Acoustic,95.52170038223267%,39rKElzF7q6K4O2flycSEc,Chlara
1mTROTnvFi7uxGciL319Kb,Sa Dulo Ng Walang Hanggan - Sa Ngalan Ng Pag-Ibig Piano Version,2hT2tmiAlFVF4waIOHNWqA,342067,2018-12-09,62,0.605,0.336,11,-8.732,1,0.0362,0.828,0.0,0.104,0.198,127.907,3,0.9535110592842102,Acoustic,95.35110592842102%,4qFxP3qN9GsnZDOkAE6x2m,December Avenue
1uRwUQicwng6S44RtsANQv,Hatid,2m8pNsbpAvJYe7rbRpkhFF,287624,2018-10-26,60,0.34,0.218,11,-14.892,1,0.0534,0.874,0.000136,0.0886,0.137,101.747,3,0.9495694637298584,Acoustic,94.95694637298584%,1YlibpAvhJBbMZMBwN1KGv,The Juans
1F9SIR4geHCMuZcdkRzvPz,Jeepney,4Jfm8pzDGoeDqWKf6Q5qO6,322933,2013,60,0.446,0.739,2,-5.803,1,0.0367,0.449,0.0,0.52,0.27,85.344,5,0.9466429352760316,Rock,94.66429352760315%,1tXFYQZSAswt4JLB42lpye,Sponge Cola
1F9SIR4geHCMuZcdkRzvPz,Jeepney,4Jfm8pzDGoeDqWKf6Q5qO6,322933,2013,60,0.446,0.739,2,-5.803,1,0.0367,0.449,0.0,0.52,0.27,85.344,5,0.9466429352760316,Rock,94.66429352760315%,1tXFYQZSAswt4JLB42lpye,Sponge Cola
1F9SIR4geHCMuZcdkRzvPz,Jeepney,4Jfm8pzDGoeDqWKf6Q5qO6,322933,2013,60,0.446,0.739,2,-5.803,1,0.0367,0.449,0.0,0.52,0.27,85.344,5,0.9466429352760316,Rock,94.66429352760315%,1tXFYQZSAswt4JLB42lpye,Sponge Cola
1F9SIR4geHCMuZcdkRzvPz,Jeepney,4Jfm8pzDGoeDqWKf6Q5qO6,322933,2013,60,0.446,0.739,2,-5.803,1,0.0367,0.449,0.0,0.52,0.27,85.344,5,0.9466429352760316,Rock,94.66429352760315%,1tXFYQZSAswt4JLB42lpye,Sponge Cola
2Gh039ZAfydrM5IjiGlvEj,Akala,0giiQAqGqHumXAA5WDUPsV,341167,2018-07-20,1,0.502,0.185,10,-11.423,1,0.0635,0.864,0.0,0.105,0.185,125.044,3,0.944152295589447,Acoustic,94.4152295589447%,0lslA51eKXwTUY0TSX9Emy,Marion Aunor
4UgtdWy4dm7vMVIupUbtMm,Huling Sayaw - Acoustic,0HYAcVSUVkfxzHKgHu6DqR,260253,2012,61,0.611,0.308,4,-7.999,1,0.0272,0.865,0.0,0.125,0.315,135.015,3,0.9428072571754456,Acoustic,94.28072571754456%,4GBFKKuwmZUnAJt6nBal7A,Kamikazee
4UgtdWy4dm7vMVIupUbtMm,Huling Sayaw - Acoustic,0HYAcVSUVkfxzHKgHu6DqR,260253,2012,61,0.611,0.308,4,-7.999,1,0.0272,0.865,0.0,0.125,0.315,135.015,3,0.9428072571754456,Acoustic,94.28072571754456%,4GBFKKuwmZUnAJt6nBal7A,Kamikazee
4UgtdWy4dm7vMVIupUbtMm,Huling Sayaw - Acoustic,0HYAcVSUVkfxzHKgHu6DqR,260253,2012,61,0.611,0.308,4,-7.999,1,0.0272,0.865,0.0,0.125,0.315,135.015,3,0.9428072571754456,Acoustic,94.28072571754456%,4GBFKKuwmZUnAJt6nBal7A,Kamikazee
55wiiyCgZIFAbQxDUctLjd,Binalewala - Acoustic Version,1793zMKn7sOceKYWdN7yQX,290063,2019-10-07,57,0.46,0.282,10,-8.714,1,0.0411,0.868,0.0,0.0776,0.345,137.086,3,0.9425522685050964,Acoustic,94.25522685050964%,6ZdzYE3CEgY0Umgi3Dsgv8,Michael Dutchi Libranda
55wiiyCgZIFAbQxDUctLjd,Binalewala - Acoustic Version,1793zMKn7sOceKYWdN7yQX,290063,2019-10-07,57,0.46,0.282,10,-8.714,1,0.0411,0.868,0.0,0.0776,0.345,137.086,3,0.9425522685050964,Acoustic,94.25522685050964%,6ZdzYE3CEgY0Umgi3Dsgv8,Michael Dutchi Libranda
