playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX72wBcERxgla,Jazz for Reading,103,spotify,Spotify,35836
37i9dQZF1DXa7FSukIBTlS,Jazz جاز,60,spotify,Spotify,28276
1Rj92hyXm3WjpOJI8XgYtF,Paris Cafe Jazz,421,gym377,gym377,27263
1YJe9dmtfOWC2lKbIdJUWm,Instrumental Jazz,363,1133659742,Valdemar Bille-Lauridsen,25701
4vCAD6vcB6mSElLM1Whb4r,Chill Jazz Vibes 🎷 mellow jazz beats & jazzhop,123,vcdikomxn7xuhp0ci0pn31pn9,Chill Beats Music,19910
37i9dQZF1DWSSSls9eK29h,Smooth Jazz Classics,60,spotify,Spotify,19343
37i9dQZF1DWW2c0C8Vb2IR,All New Jazz,84,spotify,Spotify,18855
37i9dQZF1DWTtzPKJEaTC4,Best Jazz Songs of 2020,57,spotify,Spotify,18162
3ZZBSpcUJ4Gi2uzHjDDpC3,Classic Jazz,222,1242413602,Peter H. Finkel,17236
1w34JrNa6VEFkKc3cJsn9c,"Soul, Jazz & Blues  ",55,legrospolo,Paul Paul,16712
5OhXxa4OZwYrFm6RZQeUq7,Jazz & Chill Out,127,villazon-mx,villazon-mx,16411
3lNSPiQHMfwPnJgNNyZavP,Dinner Jazz,62,vervemusicgroup,Verve Jazz,15077
37i9dQZF1DX010dXHHQF5e,Duerme con Jazz,91,spotify,Spotify,14649
4wAG4IGtyo4cdD80zKKjoB,Coffee jazz,45,sugarbelletruck,sugarbelletruck,13746
37i9dQZF1DX41cLva7hoYQ,Workday Jazz,95,spotify,Spotify,13021
37i9dQZF1DX55mNLGdHona,Jazz in Cucina,90,spotify,Spotify,12842
5mIecwE2CjPRFjkW4GFms1,LoFi Jazz (lo-fi jazz hip hop study chill relax music beats) ,173,83jae2jqdxf6pm0ts3e60zpy3,Lofi Jazz Records 🎺,12534
38CeCKRz1m2gjRuGLU4UNb,Chill Jazz,103,89oqloy6tq7yyf3k2t781c34n,JazzFy,12245
37i9dQZF1DX9GSZDbrndTa,Jazz-Blues,50,spotify,Spotify,11649
6y6NN5sdrPMgnHQjFXHcBm,Jazz Lounge Bar Playlist,393,jazz_playlist_guy,jazz_playlist_guy,10565
37i9dQZF1DX5MImizrZfZg,Smooth Jazz 2000,50,spotify,Spotify,8851
6HhLjsFt1JywDYIbnN7ghQ,Saxophone Jazz,69,c5pphlzzercy3wzg3rxoqeb65,BGMC Records,8764
37i9dQZF1DX4VsZErMojE8,Subsuelo Jazz Bar,102,spotify,Spotify,8737
37i9dQZF1DX30D074EWuy7,Jazz Italia,50,spotify,Spotify,8328
1lw4EI1LoYNtThG3KScJ0f,Jazz lofi chill relax,162,lmd4t9x2bnl10c1m5efz4xn9p,Background Beats,7004
6g9DvA0J2xDYcOiNNIJaT6,Jazz Beats,347,c5pphlzzercy3wzg3rxoqeb65,BGMC Records,6741
4d9BnsOafG3Y64EbIJJWfW,JAZZ INSTRUMENTAL - BOSSA NOVA,285,prueba381,prueba381,4929
4l0OlpjpB75LUIrSRTvAtG,Soft Jazz evening,50,veronica.nedar,Veronica Nedar,4821
4T0R5nCnC3m6yZZWQ045pt,Coffee Shop Jazz,493,gilmour1962,JOHN ARNOLD,4787
6UHVFlw8kGYPP9N25HQrov,Jazz For Work,216,c5pphlzzercy3wzg3rxoqeb65,BGMC Records,3924
6GNoAopv64BlP5oFXrGbza,Jazz Covers Popular Songs,125,o0fbzeszsjwj57ln417mucadz,Playlists Kool,3601
3Bq6Lo4gnqelM6Q9ogblmt,Piano Jazz,963,ruw81ukowvfvjubi81t0zqupt,Overmoon,3439
37i9dQZF1DWTG7FCdM1HiA,Cool Jazz,40,spotify,Spotify,3239
4Gn6rgEi6D1kbXIn5qKHxV,Smooth Jazz Piano,129,funkyjlo,funkyjlo,3070
582DJmd0ot1ayqJePPSGtA,Relaxing Jazz,80,greenhillmusic,Green Hill,2977
1WxyPZDwKySzXaiE7RHgtV,Jazz Coffee,60,zaz2169,zaz,1713
1idicUefIVcVQIDqkExrSW,Jazz Rythms (Greenhills)  🍻👌,248,12151019285,Markoptions Manansala,975
1JLuxFpcrhA6msxMGTK9Ik,Jazz Music 2020 Best Jazz Covers Of Popular Songs 2020 Bossa Nova Jazz 2020,33,217243pznudxarof4mpdp4xja,Jaf Christian Datinguinoo,944
4uos9MJcD8i0xYSIBB82wl,Jazz Fusion 80s,454,rick.modina1966,rick.modina1966,944
14TYbeYJ0twa757h9tPmLw,Jazz Rhythms / Rhythm and Booze / East St. Louis / Reasons,179,docona02,Ona Fajardo,573
561exdPxRXnl4ihpQk7vsi,Jazziq/Busta929/Zuma Hits,42,31t3q7h7sjwzb2qsd4czd4jeqkl4,Mohato Mo Raul Reahola Matsoso,51
2JEBS22993apypJxhVtcqW,"Jazz, Piano, Relax music for the week",654,q2xow09anywwu6htm1uue4vvd,holly_lertu,6
2GThweZMx4KyJFkXmvJQFr,jazz funk one more time,224,pxy2x73veot40413tgsbpb9cu,Deann L.,5
5Rj045q77fRQZNDHCYWqDY,"Jazz, Rock, Music for day",1095,zvy3wmydn2u7wizix5iu2c4qq,lella_like,3
