track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre_prob,predicted_genre,classification_probability
0tgVpDi06FyKpA1z0VMD4v,Perfect,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3T4tUhGYeRNVUGevb0wThu,263400,2017-03-03,86,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,5,0.5226438045501709,Rock,52.26438045501709%
7IL3UOlcJ6nmcCMwpnlfcA,Something's Gotta Give,4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,2vD3zSQr8hNlg0obNel4TE,236360,2018-01-12,66,0.545,0.458,5,-4.6,0,0.0279,0.367,0.0,0.118,0.164,79.943,5,0.5225791931152344,Rock,52.25791931152344%
3jJ5NJ3aNWvV70Rd7hgZIH,Gotta Be You,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,6cunQQ7YZisYOoiFu2ywIq,244506,2012-05-25,68,0.495,0.583,8,-4.531,1,0.0249,0.374,0.0,0.0781,0.603,84.969,3,0.5221552848815918,Acoustic,52.21552848815918%
2L9QLAhrvtP4EYg1lY0Tnw,Rudolph The Red-Nosed Reindeer,49e4v89VmlDcFCMyDv9wQ9,Dean Martin,5I48ENiZiaZZSOpec6PdS5,135760,1959-01-01,52,0.478,0.201,7,-16.768,1,0.0332,0.919,0.0,0.0854,0.857,136.471,1,0.5220931172370911,Classical,52.209311723709106%
5T8bLnWG8sg9ER8RKNZbCB,Before I Let You Go,0jarApAsbmiCkYhz0590mE,Freestyle,1UeL9KHbWPUf203QjU6NvN,289266,1998-09-26,64,0.655,0.348,4,-12.091,1,0.0356,0.176,0.0,0.161,0.0641,120.011,4,0.5218256711959839,R&B,52.18256711959839%
6A9mMKHYdeUJGvQDKChC0C,Taking Me Back,49tQo2QULno7gxHutgccqF,LANY,6SWmGozzQDUaczHXMuE8Za,194810,2018-10-05,60,0.689,0.57,5,-6.728,0,0.0419,0.04,0.0,0.106,0.524,94.061,4,0.5218077898025513,R&B,52.18077898025513%
28Tv8zltFDr5wBCG3Pfky4,I Love You's,5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,7poPqCs2rGkF1hzZHuzzCv,216083,2020-03-26,53,0.682,0.783,8,-4.997,1,0.18,0.0262,0.0,0.206,0.323,106.899,4,0.5215891003608704,R&B,52.158910036087036%
6ZDueLAHQXEGfgR3piQ0i1,Pasko Sa Pinas,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,7ynUgOvDupKPoNUAzPEZ4I,261985,2007-11-16,47,0.668,0.595,2,-5.882,1,0.0399,0.391,0.0,0.164,0.487,133.816,5,0.5214097499847412,Rock,52.14097499847412%
4ak7xjvBeBOcJGWFDX9w5n,Rodeo,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,4IRiXE5NROxknUSAUSjMoO,158706,2019-06-21,75,0.706,0.679,9,-5.614,1,0.0324,0.139,6.98e-05,0.465,0.657,140.081,2,0.5208712220191956,Reggae,52.087122201919556%
5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),6MDME20pz9RveH9rEXvrOM,Clean Bandit,3meZFplbMmji648oWUNEfQ,251088,2016-10-21,76,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,2,0.5202434062957764,Reggae,52.02434062957764%
